transaction_id,customer_id,merchant_id,amount,timestamp,payment_method,merchant_category,customer_account_age_days,is_new_device,ip_risk_score,location,distance_from_usual_location,failed_attempts_last_24h,transactions_last_1h,transactions_last_24h,avg_transaction_amount,transaction_amount_deviation,previous_chargebacks,previous_fraud_flags,merchant_risk_score,account_velocity,hour_of_day,day_of_week,label
TXN-0000001,447,116,269.76,2025-01-01 00:00:00,UPI,Grocery,1135,0,0.1864,Delhi,0.01,1,0,5,737.68,0.366,0,0,0.8483,0.0,0,2,0
TXN-0000002,3870,174,772.54,2025-01-01 00:15:00,CARD,Grocery,1094,0,0.037,Delhi,6.09,1,1,6,1430.04,0.54,0,0,0.2335,0.1667,0,2,0
TXN-0000003,3273,431,666.01,2025-01-01 00:30:00,CARD,Fashion,818,1,0.1141,Chennai,3.33,0,0,2,3961.36,0.168,0,1,0.06,0.0,0,2,0
TXN-0000004,2195,52,920.81,2025-01-01 00:45:00,CARD,Grocery,1948,0,0.0578,Hyderabad,5.48,0,1,8,1422.4,0.647,1,0,0.2772,0.125,0,2,0
TXN-0000005,2166,55,2429.46,2025-01-01 01:00:00,UPI,Electronics,1225,1,0.1683,Hyderabad,15.32,1,0,10,8538.67,0.285,0,0,0.1445,0.0,1,2,0
TXN-0000006,4293,152,3092.01,2025-01-01 01:15:00,CARD,Grocery,322,0,0.1181,Mumbai,26.25,0,2,7,3140.91,0.984,0,0,0.7391,0.2857,1,2,0
TXN-0000007,430,302,657.69,2025-01-01 01:30:00,CARD,Healthcare,606,0,0.0593,Bengaluru,1.07,1,1,5,1631.88,0.403,0,1,0.6569,0.2,1,2,0
TXN-0000008,3487,404,817.19,2025-01-01 01:45:00,UPI,Healthcare,896,0,0.0456,Hyderabad,0.11,0,2,4,1022.51,0.799,0,0,0.0339,0.5,1,2,0
TXN-0000009,1008,282,5319.06,2025-01-01 02:00:00,UPI,Gaming,1865,0,0.2405,Chennai,4.07,0,1,6,1920.3,2.77,1,1,0.0381,0.1667,2,2,0
TXN-0000010,471,247,9905.4,2025-01-01 02:15:00,CARD,Grocery,2232,0,0.1429,Bengaluru,5.14,0,0,4,742.04,13.349,1,1,0.1902,0.0,2,2,0
TXN-0000011,2633,436,6319.9,2025-01-01 02:30:00,CARD,Electronics,419,0,0.352,Delhi,4.35,1,1,3,1336.32,4.729,0,0,0.4923,0.3333,2,2,0
TXN-0000012,4879,86,346.96,2025-01-01 02:45:00,CARD,Travel,362,0,0.1543,Bengaluru,2.7,0,1,6,1458.55,0.238,0,0,0.2957,0.1667,2,2,0
TXN-0000013,3679,451,5913.24,2025-01-01 03:00:00,UPI,Electronics,1302,0,0.4505,Pune,3.28,0,0,5,2646.53,2.234,0,0,0.1366,0.0,3,2,0
TXN-0000014,3806,157,11489.98,2025-01-01 03:15:00,UPI,Healthcare,2320,0,0.2152,Bengaluru,7.85,0,1,7,1912.1,6.009,0,0,0.4295,0.1429,3,2,0
TXN-0000015,3588,138,330.17,2025-01-01 03:30:00,UPI,Healthcare,725,0,0.103,Pune,3.87,0,1,5,2026.66,0.163,0,1,0.3264,0.2,3,2,0
TXN-0000016,3931,477,5314.76,2025-01-01 03:45:00,UPI,Fashion,1574,0,0.3318,Mumbai,12.84,1,1,5,4529.08,1.173,0,0,0.2312,0.2,3,2,0
TXN-0000017,2567,323,2254.67,2025-01-01 04:00:00,UPI,Grocery,1807,0,0.1013,Delhi,2.08,0,0,9,655.55,3.439,0,0,0.0519,0.0,4,2,0
TXN-0000018,641,216,1297.77,2025-01-01 04:15:00,UPI,Healthcare,21,0,0.1215,Hyderabad,3.8,0,2,6,3754.09,0.346,0,0,0.3378,0.3333,4,2,0
TXN-0000019,4199,166,2001.65,2025-01-01 04:30:00,WALLET,Fashion,914,0,0.3882,Bengaluru,11.65,0,1,4,4376.89,0.457,0,0,0.3073,0.25,4,2,0
TXN-0000020,2252,221,2804.0,2025-01-01 04:45:00,UPI,Electronics,393,0,0.2836,Chennai,3.12,0,2,10,1592.97,1.76,0,0,0.3431,0.2,4,2,0
TXN-0000021,2502,396,5728.03,2025-01-01 05:00:00,WALLET,Electronics,2471,0,0.2385,Bengaluru,9.91,0,0,9,703.47,8.143,0,1,0.0167,0.0,5,2,0
TXN-0000022,1854,77,5440.12,2025-01-01 05:15:00,UPI,Grocery,135,0,0.1029,Pune,15.59,0,1,7,972.96,5.591,0,0,0.4574,0.1429,5,2,1
TXN-0000023,913,88,398.86,2025-01-01 05:30:00,WALLET,Grocery,332,0,0.3394,Delhi,2.0,1,2,4,2001.46,0.199,0,1,0.3417,0.5,5,2,0
TXN-0000024,4634,153,940.93,2025-01-01 05:45:00,NETBANKING,Travel,1931,0,0.389,Pune,7.39,0,2,9,751.87,1.251,0,0,0.0885,0.2222,5,2,0
TXN-0000025,3908,242,1976.55,2025-01-01 06:00:00,UPI,Gaming,401,0,0.0129,Hyderabad,5.98,0,1,7,687.23,2.876,0,0,0.1062,0.1429,6,2,0
TXN-0000026,3220,408,8671.18,2025-01-01 06:15:00,UPI,Fashion,639,0,0.2318,Hyderabad,5.04,0,0,7,1737.38,4.991,0,1,0.0157,0.0,6,2,0
TXN-0000027,2013,106,117.69,2025-01-01 06:30:00,UPI,Fashion,1388,0,0.1014,Bengaluru,11.66,2,2,9,2644.09,0.045,0,0,0.1616,0.2222,6,2,0
TXN-0000028,4114,394,977.21,2025-01-01 06:45:00,WALLET,Healthcare,1426,0,0.2766,Pune,21.59,0,2,6,2576.43,0.379,0,0,0.4234,0.3333,6,2,0
TXN-0000029,2728,454,390.59,2025-01-01 07:00:00,UPI,Gaming,2494,0,0.3072,Delhi,32.73,0,2,8,1529.98,0.255,0,0,0.2611,0.25,7,2,1
TXN-0000030,2218,218,457.68,2025-01-01 07:15:00,CARD,Healthcare,2127,0,0.1583,Bengaluru,11.04,0,1,3,2342.97,0.195,0,0,0.4089,0.3333,7,2,0
TXN-0000031,2253,481,4823.61,2025-01-01 07:30:00,UPI,Healthcare,2095,0,0.0714,Mumbai,0.66,0,0,6,1709.84,2.821,0,2,0.1991,0.0,7,2,0
TXN-0000032,1137,447,1057.49,2025-01-01 07:45:00,UPI,Electronics,2255,0,0.0644,Chennai,10.18,0,0,9,6480.92,0.163,1,0,0.0868,0.0,7,2,0
TXN-0000033,461,399,174.49,2025-01-01 08:00:00,CARD,Grocery,1397,0,0.1172,Pune,3.81,0,2,7,3985.08,0.044,0,0,0.1042,0.2857,8,2,0
TXN-0000034,2773,191,1536.25,2025-01-01 08:15:00,CARD,Grocery,2103,0,0.1465,Delhi,6.73,0,0,7,6657.81,0.231,0,1,0.2296,0.0,8,2,0
TXN-0000035,4440,151,13785.9,2025-01-01 08:30:00,UPI,Fashion,1770,0,0.2286,Chennai,0.42,0,0,4,3779.73,3.647,0,0,0.0742,0.0,8,2,0
TXN-0000036,320,433,295.55,2025-01-01 08:45:00,UPI,Gaming,1259,0,0.074,Hyderabad,5.63,0,1,4,1515.17,0.195,0,0,0.2194,0.25,8,2,0
TXN-0000037,4292,221,3067.07,2025-01-01 09:00:00,WALLET,Electronics,2343,0,0.2876,Delhi,0.64,0,0,7,857.33,3.577,2,0,0.2075,0.0,9,2,0
TXN-0000038,4139,16,8632.12,2025-01-01 09:15:00,NETBANKING,Grocery,360,1,0.0382,Mumbai,9.03,0,1,7,692.26,12.469,0,2,0.0802,0.1429,9,2,1
TXN-0000039,1384,359,1713.2,2025-01-01 09:30:00,CARD,Gaming,962,0,0.0643,Bengaluru,3.94,0,0,12,3291.11,0.521,0,0,0.1896,0.0,9,2,0
TXN-0000040,3159,174,12376.34,2025-01-01 09:45:00,UPI,Grocery,872,0,0.2093,Pune,10.22,0,0,5,1438.32,8.605,0,0,0.107,0.0,9,2,0
TXN-0000041,827,468,930.51,2025-01-01 10:00:00,UPI,Healthcare,1359,0,0.0488,Mumbai,0.07,0,2,3,1225.52,0.759,0,0,0.0988,0.6667,10,2,0
TXN-0000042,3791,428,7642.51,2025-01-01 10:15:00,UPI,Grocery,840,0,0.27,Bengaluru,11.52,2,2,7,3360.05,2.275,0,1,0.0847,0.2857,10,2,0
TXN-0000043,3503,53,6035.89,2025-01-01 10:30:00,WALLET,Healthcare,1063,0,0.178,Chennai,3.32,0,2,8,1569.47,3.846,0,0,0.08,0.25,10,2,0
TXN-0000044,1773,451,1742.38,2025-01-01 10:45:00,CARD,Grocery,2476,0,0.3002,Bengaluru,6.77,0,0,3,3383.51,0.515,0,0,0.1714,0.0,10,2,0
TXN-0000045,340,475,406.81,2025-01-01 11:00:00,UPI,Electronics,1879,0,0.3728,Chennai,4.6,0,2,6,211.28,1.925,0,1,0.3291,0.3333,11,2,0
TXN-0000046,4854,379,661.04,2025-01-01 11:15:00,UPI,Gaming,2018,0,0.7136,Chennai,0.95,1,0,6,3628.32,0.182,1,0,0.1748,0.0,11,2,0
TXN-0000047,2229,138,172.67,2025-01-01 11:30:00,UPI,Fashion,882,0,0.1277,Pune,24.31,0,2,7,4020.97,0.043,0,0,0.4264,0.2857,11,2,0
TXN-0000048,4466,335,3260.68,2025-01-01 11:45:00,UPI,Fashion,809,1,0.1195,Pune,17.58,0,0,4,2267.8,1.438,0,1,0.0363,0.0,11,2,0
TXN-0000049,3390,435,2892.4,2025-01-01 12:00:00,UPI,Fashion,1289,0,0.3014,Pune,9.11,0,1,12,1516.48,1.907,0,1,0.1955,0.0833,12,2,0
TXN-0000050,3892,408,1948.39,2025-01-01 12:15:00,WALLET,Electronics,1034,0,0.1193,Delhi,2.16,2,2,8,545.73,3.57,0,0,0.0868,0.25,12,2,0
TXN-0000051,3800,216,1592.13,2025-01-01 12:30:00,UPI,Grocery,1630,0,0.0509,Delhi,9.96,0,3,5,924.38,1.722,1,0,0.3033,0.6,12,2,0
TXN-0000052,974,354,6996.28,2025-01-01 12:45:00,UPI,Fashion,682,1,0.1223,Pune,5.23,0,0,5,1277.63,5.476,0,0,0.2068,0.0,12,2,0
TXN-0000053,1820,193,2424.4,2025-01-01 13:00:00,UPI,Grocery,357,0,0.0626,Mumbai,20.8,1,1,3,2400.71,1.01,0,0,0.3623,0.3333,13,2,0
TXN-0000054,2334,128,1033.7,2025-01-01 13:15:00,CARD,Healthcare,1011,0,0.3174,Delhi,2.41,0,2,9,1671.12,0.619,0,0,0.093,0.2222,13,2,0
TXN-0000055,2489,337,2085.51,2025-01-01 13:30:00,UPI,Fashion,2052,0,0.0381,Hyderabad,0.11,1,1,6,575.8,3.622,0,0,0.0906,0.1667,13,2,0
TXN-0000056,220,234,13947.38,2025-01-01 13:45:00,NETBANKING,Fashion,205,0,0.2521,Delhi,10.57,0,5,11,2911.69,4.79,0,0,0.2131,0.4545,13,2,0
TXN-0000057,2733,113,3353.33,2025-01-01 14:00:00,UPI,Travel,213,0,0.1211,Delhi,1.18,0,0,8,3022.45,1.109,0,0,0.1697,0.0,14,2,0
TXN-0000058,772,331,1218.8,2025-01-01 14:15:00,NETBANKING,Grocery,2088,0,0.1801,Hyderabad,0.64,0,1,4,2686.88,0.454,0,1,0.4531,0.25,14,2,0
TXN-0000059,3717,161,1721.7,2025-01-01 14:30:00,WALLET,Fashion,955,1,0.3035,Hyderabad,4.46,0,0,3,2775.75,0.62,0,1,0.3214,0.0,14,2,0
TXN-0000060,3416,294,2860.98,2025-01-01 14:45:00,UPI,Healthcare,1333,0,0.0444,Hyderabad,1.36,0,2,6,2237.3,1.279,0,1,0.0809,0.3333,14,2,0
TXN-0000061,4613,181,1181.4,2025-01-01 15:00:00,NETBANKING,Healthcare,1915,0,0.1122,Chennai,1.84,0,3,8,3666.24,0.322,1,2,0.221,0.375,15,2,0
TXN-0000062,3724,443,1081.38,2025-01-01 15:15:00,CARD,Gaming,1514,0,0.1584,Hyderabad,18.33,0,4,12,1924.54,0.562,0,0,0.3213,0.3333,15,2,0
TXN-0000063,1834,426,1779.74,2025-01-01 15:30:00,UPI,Healthcare,2428,0,0.5872,Delhi,12.01,0,1,5,4052.04,0.439,0,0,0.3243,0.2,15,2,0
TXN-0000064,4838,237,8222.52,2025-01-01 15:45:00,UPI,Electronics,496,0,0.1038,Mumbai,13.86,0,0,5,795.81,10.332,0,0,0.2053,0.0,15,2,0
TXN-0000065,2055,356,3969.99,2025-01-01 16:00:00,CARD,Fashion,2067,0,0.0617,Mumbai,1.75,0,3,8,2403.38,1.652,0,0,0.1093,0.375,16,2,0
TXN-0000066,1630,89,1195.13,2025-01-01 16:15:00,CARD,Electronics,1132,0,0.07,Hyderabad,16.13,0,2,5,4230.45,0.283,0,1,0.0384,0.4,16,2,0
TXN-0000067,4528,499,4292.2,2025-01-01 16:30:00,WALLET,Travel,320,0,0.0899,Delhi,3.1,1,0,5,1297.38,3.308,0,0,0.3504,0.0,16,2,0
TXN-0000068,1853,108,1815.5,2025-01-01 16:45:00,CARD,Electronics,1158,0,0.0429,Pune,11.39,0,0,4,1192.39,1.523,0,0,0.4014,0.0,16,2,0
TXN-0000069,382,434,2540.54,2025-01-01 17:00:00,UPI,Electronics,1255,0,0.1882,Pune,4.0,0,0,3,4087.43,0.622,0,0,0.3266,0.0,17,2,0
TXN-0000070,2348,424,2319.64,2025-01-01 17:15:00,UPI,Travel,245,0,0.2993,Mumbai,0.47,0,0,3,1982.1,1.17,0,0,0.2086,0.0,17,2,0
TXN-0000071,3979,90,218.17,2025-01-01 17:30:00,UPI,Travel,1210,0,0.0687,Chennai,1.56,0,2,6,2207.68,0.099,0,0,0.4962,0.3333,17,2,0
TXN-0000072,948,5,85.46,2025-01-01 17:45:00,UPI,Travel,81,0,0.1312,Delhi,1.72,1,2,8,3961.42,0.022,0,0,0.1074,0.25,17,2,0
TXN-0000073,2315,369,2257.84,2025-01-01 18:00:00,CARD,Grocery,1665,0,0.3955,Delhi,2.9,0,2,11,652.59,3.46,0,0,0.1742,0.1818,18,2,0
TXN-0000074,650,435,767.15,2025-01-01 18:15:00,UPI,Grocery,1546,0,0.1772,Mumbai,9.71,0,1,7,1168.66,0.656,1,0,0.567,0.1429,18,2,0
TXN-0000075,3433,359,349.42,2025-01-01 18:30:00,CARD,Healthcare,309,0,0.0131,Bengaluru,4.79,1,1,9,493.95,0.707,0,0,0.0352,0.1111,18,2,0
TXN-0000076,2379,28,791.19,2025-01-01 18:45:00,UPI,Grocery,1431,0,0.0248,Mumbai,9.38,0,1,7,3286.9,0.241,0,0,0.1201,0.1429,18,2,0
TXN-0000077,1651,323,4537.74,2025-01-01 19:00:00,NETBANKING,Gaming,668,0,0.0064,Bengaluru,6.53,0,1,7,1353.87,3.352,2,0,0.1525,0.1429,19,2,0
TXN-0000078,1135,196,2574.39,2025-01-01 19:15:00,UPI,Gaming,1616,0,0.3876,Pune,4.01,1,1,4,2157.17,1.193,0,0,0.0927,0.25,19,2,0
TXN-0000079,2823,458,3894.43,2025-01-01 19:30:00,WALLET,Healthcare,594,0,0.0681,Chennai,16.71,0,0,6,1043.3,3.733,0,1,0.2929,0.0,19,2,0
TXN-0000080,3350,401,2831.71,2025-01-01 19:45:00,UPI,Gaming,2240,0,0.1427,Hyderabad,3.47,0,1,6,2765.48,1.024,0,1,0.1183,0.1667,19,2,0
TXN-0000081,4702,400,718.17,2025-01-01 20:00:00,UPI,Fashion,1281,0,0.3756,Hyderabad,9.59,1,1,8,1488.39,0.483,0,0,0.3906,0.125,20,2,0
TXN-0000082,2186,204,3913.11,2025-01-01 20:15:00,CARD,Travel,2495,0,0.0135,Bengaluru,29.07,0,2,7,395.63,9.891,0,0,0.2096,0.2857,20,2,1
TXN-0000083,804,162,3233.37,2025-01-01 20:30:00,CARD,Grocery,204,0,0.2248,Pune,16.87,0,1,4,797.92,4.052,0,0,0.2166,0.25,20,2,0
TXN-0000084,4164,412,1600.48,2025-01-01 20:45:00,UPI,Grocery,2098,0,0.1411,Hyderabad,8.0,0,3,7,5138.94,0.311,0,0,0.192,0.4286,20,2,0
TXN-0000085,3149,58,1909.09,2025-01-01 21:00:00,UPI,Gaming,145,0,0.1936,Delhi,3.08,1,1,6,1687.27,1.131,0,0,0.0175,0.1667,21,2,0
TXN-0000086,3502,51,3975.91,2025-01-01 21:15:00,UPI,Travel,62,0,0.1752,Hyderabad,3.44,0,0,7,2287.13,1.738,0,0,0.1551,0.0,21,2,0
TXN-0000087,487,32,850.73,2025-01-01 21:30:00,UPI,Fashion,426,0,0.1122,Hyderabad,9.73,0,0,2,3461.67,0.246,0,0,0.1035,0.0,21,2,0
TXN-0000088,1562,256,5342.37,2025-01-01 21:45:00,NETBANKING,Electronics,770,0,0.1932,Chennai,13.43,1,1,6,3606.74,1.481,1,0,0.3154,0.1667,21,2,1
TXN-0000089,3840,38,3167.3,2025-01-01 22:00:00,UPI,Healthcare,2244,0,0.3121,Mumbai,1.8,0,0,2,5049.85,0.627,0,0,0.1179,0.0,22,2,0
TXN-0000090,4162,292,1804.07,2025-01-01 22:15:00,UPI,Fashion,1945,0,0.288,Hyderabad,2.71,0,1,6,1258.49,1.434,1,0,0.2318,0.1667,22,2,0
TXN-0000091,2177,84,8323.0,2025-01-01 22:30:00,WALLET,Healthcare,192,0,0.1045,Delhi,0.08,0,3,11,3433.01,2.424,1,0,0.1752,0.2727,22,2,0
TXN-0000092,4024,446,493.35,2025-01-01 22:45:00,WALLET,Grocery,2253,0,0.1972,Pune,5.1,1,2,6,1789.18,0.276,1,0,0.2414,0.3333,22,2,0
TXN-0000093,4209,217,1136.1,2025-01-01 23:00:00,UPI,Gaming,594,1,0.1408,Chennai,29.7,0,0,5,985.45,1.153,0,0,0.3282,0.0,23,2,0
TXN-0000094,1938,47,909.86,2025-01-01 23:15:00,WALLET,Electronics,2280,0,0.1391,Pune,11.93,0,3,11,977.01,0.931,0,0,0.0838,0.2727,23,2,1
TXN-0000095,4491,347,2575.07,2025-01-01 23:30:00,CARD,Fashion,510,1,0.2681,Pune,8.79,1,1,5,1702.79,1.512,0,0,0.2947,0.2,23,2,0
TXN-0000096,1442,170,5872.03,2025-01-01 23:45:00,UPI,Travel,1679,0,0.0465,Mumbai,22.57,1,0,7,1764.67,3.328,0,0,0.2342,0.0,23,2,0
TXN-0000097,1198,131,673.52,2025-01-02 00:00:00,CARD,Travel,1568,0,0.1031,Chennai,1.31,0,1,8,832.73,0.809,0,0,0.2378,0.125,0,3,0
TXN-0000098,3413,330,49071.81,2025-01-02 00:15:00,WALLET,Electronics,2118,0,0.3157,Pune,1.37,0,1,5,1466.25,33.468,0,0,0.1408,0.2,0,3,1
TXN-0000099,3184,478,927.77,2025-01-02 00:30:00,UPI,Electronics,1552,0,0.0146,Chennai,13.69,0,4,7,3112.21,0.298,0,0,0.6431,0.5714,0,3,0
TXN-0000100,699,490,2581.76,2025-01-02 00:45:00,UPI,Electronics,404,0,0.4261,Pune,1.34,1,0,8,770.3,3.352,1,0,0.3486,0.0,0,3,0
TXN-0000101,4164,218,1804.84,2025-01-02 01:00:00,UPI,Electronics,2490,0,0.1771,Chennai,0.01,0,0,8,1726.15,1.046,0,0,0.225,0.0,1,3,0
TXN-0000102,1000,425,1885.03,2025-01-02 01:15:00,NETBANKING,Gaming,984,0,0.0582,Mumbai,13.1,0,0,5,4541.44,0.415,0,0,0.2377,0.0,1,3,0
